library,sample,sample_type,sort_bin,concentration,date,number_cells,R1
lib47_SARSr-wts,tetra_03_bin4,tetra,4,3,220411,7874,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s20_b4_S12_R1_001.fastq.gz
lib47_SARSr-wts,tetra_04_bin1,tetra,1,4,220411,154753,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s21_b1_S13_R1_001.fastq.gz
lib47_SARSr-wts,tetra_04_bin2,tetra,2,4,220411,814500,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s21_b2_S14_R1_001.fastq.gz
lib47_SARSr-wts,tetra_04_bin3,tetra,3,4,220411,146037,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s21_b3_S15_R1_001.fastq.gz
lib47_SARSr-wts,tetra_04_bin4,tetra,4,4,220411,7,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s21_b4_S16_R1_001.fastq.gz
lib47_SARSr-wts,tetra_05_bin1,tetra,1,5,220411,1022116,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s34_b1_S65_R1_001.fastq.gz
lib47_SARSr-wts,tetra_05_bin2,tetra,2,5,220411,36481,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s34_b2_S66_R1_001.fastq.gz
lib47_SARSr-wts,tetra_05_bin3,tetra,3,5,220411,26,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s34_b3_S67_R1_001.fastq.gz
lib47_SARSr-wts,tetra_05_bin4,tetra,4,5,220411,12,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s34_b4_S68_R1_001.fastq.gz
lib47_SARSr-wts,tri_01_bin1,tri,1,1,220411,6556,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s22_b1_S17_R1_001.fastq.gz
lib47_SARSr-wts,tri_01_bin2,tri,2,1,220411,29290,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s22_b2_S18_R1_001.fastq.gz
lib47_SARSr-wts,tri_01_bin3,tri,3,1,220411,241703,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s22_b3_S19_R1_001.fastq.gz
lib47_SARSr-wts,tri_01_bin4,tri,4,1,220411,758028,/shared/ngs/illumina/tstarr/220510_VH00699_119_AAAYKMFM5/Unaligned/Project_tstarr/220411_s22_b4_S81_R1_001.fastq.gz
lib47_SARSr-wts,tri_02_bin1,tri,1,2,220411,29100,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s23_b1_S21_R1_001.fastq.gz
lib47_SARSr-wts,tri_02_bin2,tri,2,2,220411,131271,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s23_b2_S22_R1_001.fastq.gz
lib47_SARSr-wts,tri_02_bin3,tri,3,2,220411,640325,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s23_b3_S23_R1_001.fastq.gz
